h_nb_victories,h_nb_draws,h_nb_defeats,h_nb_points,h_nb_goals_scored,h_nb_goals_conceded,h_nb_goals_diff,h_nb_games,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_points_home,h_nb_goals_scored_home,h_nb_goals_conceded_home,h_diff_goals_home,h_last_n_games_points_home,h_last_n_games_victories_home,h_last_n_games_draws_home,h_last_n_games_defeats_home,h_mean_nb_goals_scored_home,h_mean_nb_goals_conceded_home,h_season_wages,a_nb_victories,a_nb_draws,a_nb_defeats,a_nb_points,a_nb_goals_scored,a_nb_goals_conceded,a_nb_goals_diff,a_nb_games,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_points_away,a_nb_goals_scored_away,a_nb_goals_conceded_away,a_diff_goals_away,a_last_n_games_points_away,a_last_n_games_victories_away,a_last_n_games_draws_away,a_last_n_games_defeats_away,a_mean_nb_goals_scored_away,a_mean_nb_goals_conceded_away,a_season_wages,diff_nb_victories,diff_nb_draws,diff_nb_defeats,diff_nb_points,diff_nb_goals_diff,diff_season_wages,Month,Week,distance_km,capacity_home_stadium,home_win,id
2.0,0.0,4.0,6.0,4.0,12.0,-8.0,6.0,3.0,1.0,0.0,2.0,3.0,1.0,6.0,-5.0,3.0,1.0,0.0,2.0,0.333333333333,2.0,39.1,6.0,0.0,0.0,18.0,15.0,3.0,12.0,6.0,3.0,3.0,0.0,0.0,9.0,7.0,2.0,5.0,9.0,3.0,0.0,0.0,2.33333333333,0.666666666667,174.7,-4.0,0.0,4.0,-12.0,-20.0,-135.6,9,39,9137.95661117,25133.0,1,E0_2009_2010_63
4.0,0.0,2.0,12.0,12.0,10.0,2.0,6.0,3.0,2.0,0.0,1.0,6.0,5.0,5.0,0.0,6.0,2.0,0.0,1.0,1.66666666667,1.66666666667,66.6,3.0,0.0,3.0,9.0,5.0,10.0,-5.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,9.0,-9.0,0.0,0.0,0.0,3.0,0.0,3.0,22.4,1.0,0.0,-1.0,3.0,7.0,44.2,9,39,11571.1658987,36230.0,1,E0_2009_2010_62
0.0,0.0,6.0,0.0,3.0,12.0,-9.0,6.0,3.0,0.0,0.0,3.0,0.0,2.0,5.0,-3.0,0.0,0.0,0.0,3.0,0.666666666667,1.66666666667,0.0,2.0,0.0,3.0,6.0,7.0,10.0,-3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,-2.0,0.0,0.0,0.0,2.0,0.5,1.5,54.5,-2.0,0.0,3.0,-6.0,-6.0,-54.5,9,39,8301.58954402,20224.0,0,E0_2009_2010_60
2.0,2.0,2.0,8.0,5.0,7.0,-2.0,6.0,3.0,2.0,0.0,1.0,6.0,4.0,2.0,2.0,6.0,2.0,0.0,1.0,1.33333333333,0.666666666667,44.8,5.0,0.0,1.0,15.0,15.0,6.0,9.0,6.0,3.0,2.0,0.0,1.0,6.0,8.0,2.0,6.0,6.0,2.0,0.0,1.0,2.66666666667,0.666666666667,131.6,-3.0,2.0,1.0,-7.0,-11.0,-86.8,9,39,3108.57995207,27740.0,0,E0_2009_2010_61
2.0,0.0,3.0,6.0,4.0,7.0,-3.0,5.0,2.0,1.0,0.0,1.0,3.0,2.0,3.0,-1.0,3.0,1.0,0.0,1.0,1.0,1.5,48.5,3.0,0.0,2.0,9.0,17.0,8.0,9.0,5.0,3.0,1.0,0.0,2.0,3.0,9.0,7.0,2.0,3.0,1.0,0.0,2.0,3.0,2.33333333333,110.8,-1.0,0.0,1.0,-3.0,-12.0,-62.3,9,39,557.389452287,25700.0,0,E0_2009_2010_58
1.0,1.0,3.0,4.0,4.0,8.0,-4.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,47.0,4.0,0.0,1.0,12.0,8.0,3.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,4.0,1.0,3.0,6.0,2.0,0.0,0.0,2.0,0.5,80.1,-3.0,1.0,2.0,-8.0,-9.0,-33.1,9,39,8467.37621358,31154.0,1,E0_2009_2010_57
2.0,1.0,3.0,7.0,3.0,4.0,-1.0,6.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,0.333333333333,0.333333333333,38.1,1.0,1.0,3.0,4.0,6.0,8.0,-2.0,5.0,2.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0,1.0,1.5,1.5,45.9,1.0,0.0,0.0,3.0,1.0,-7.8,9,39,7911.05452438,30079.0,0,E0_2009_2010_56
4.0,0.0,2.0,12.0,16.0,9.0,7.0,6.0,3.0,2.0,0.0,1.0,6.0,9.0,3.0,6.0,6.0,2.0,0.0,1.0,3.0,1.0,120.3,1.0,1.0,4.0,4.0,5.0,13.0,-8.0,6.0,3.0,0.0,1.0,2.0,1.0,3.0,7.0,-4.0,1.0,0.0,1.0,2.0,1.0,2.33333333333,38.3,3.0,-1.0,-2.0,8.0,15.0,82.0,9,39,15879.2680551,45276.0,1,E0_2009_2010_59
3.0,0.0,3.0,9.0,9.0,9.0,0.0,6.0,3.0,2.0,0.0,1.0,6.0,7.0,5.0,2.0,6.0,2.0,0.0,1.0,2.33333333333,1.66666666667,54.0,2.0,1.0,3.0,7.0,5.0,8.0,-3.0,6.0,3.0,1.0,0.0,2.0,3.0,2.0,4.0,-2.0,3.0,1.0,0.0,2.0,0.666666666667,1.33333333333,29.9,1.0,-1.0,0.0,2.0,3.0,24.1,9,39,14907.4468883,48707.0,1,E0_2009_2010_64
4.0,0.0,1.0,12.0,11.0,6.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,5.0,2.0,3.0,6.0,2.0,0.0,0.0,2.5,1.0,132.5,1.0,1.0,3.0,4.0,5.0,6.0,-1.0,5.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.666666666667,0.333333333333,54.0,3.0,-1.0,-2.0,8.0,6.0,78.5,9,40,9286.44117303,47405.0,1,E0_2009_2010_65
