h_nb_victories_total,h_nb_draws_total,h_season_points,h_nb_games_total,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_goals_scored_home,h_mean_nb_goals_scored_home,h_nb_goals_conceded_home,h_mean_nb_goals_conceded_home,h_last_n_games_points_home,h_season_wages,a_nb_victories_total,a_nb_draws_total,a_season_points,a_nb_games_total,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_goals_scored_away,a_mean_nb_goals_scored_away,a_nb_goals_conceded_away,a_mean_nb_goals_conceded_away,a_last_n_games_points,a_season_wages,home_win
1.0,2.0,5.0,5.0,3.0,0.0,2.0,1.0,4.0,1.3333333333333333,9.0,3.0,2.0,54.5,1.0,1.0,4.0,6.0,2.0,1.0,0.0,0.0,3.0,1.5,2.0,1.0,3.0,39.1,1
2.0,0.0,6.0,6.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.5,3.0,0.0,3.0,3.0,12.0,6.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,0.3333333333333333,5.0,133.0,0
2.0,1.0,7.0,6.0,2.0,1.0,0.0,1.0,5.0,2.5,3.0,1.5,3.0,120.3,2.0,2.0,8.0,7.0,4.0,1.0,0.0,0.0,5.0,1.25,7.0,1.75,3.0,38.0,0
2.0,3.0,9.0,8.0,3.0,1.0,2.0,0.0,1.0,0.3333333333333333,0.0,0.0,5.0,38.0,4.0,1.0,13.0,7.0,2.0,1.0,0.0,0.0,4.0,2.0,3.0,1.5,3.0,80.0,0
2.0,2.0,8.0,6.0,2.0,1.0,0.0,1.0,1.0,0.5,2.0,1.0,3.0,48.5,2.0,2.0,8.0,6.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,54.5,1
5.0,0.0,15.0,6.0,3.0,3.0,0.0,0.0,12.0,4.0,3.0,1.0,9.0,110.0,1.0,1.0,4.0,7.0,3.0,1.0,0.0,0.0,4.0,1.3333333333333333,4.0,1.3333333333333333,3.0,39.1,1
5.0,1.0,16.0,8.0,5.0,3.0,1.0,1.0,11.0,2.2,4.0,0.8,7.0,80.0,2.0,0.0,6.0,7.0,4.0,1.0,0.0,0.0,3.0,0.75,8.0,2.0,3.0,0.0,1
2.0,2.0,8.0,7.0,5.0,1.0,1.0,3.0,6.0,1.2,11.0,2.2,3.0,54.0,2.0,2.0,8.0,7.0,4.0,1.0,1.0,0.0,4.0,1.0,6.0,1.5,4.0,120.3,0
3.0,1.0,10.0,7.0,4.0,3.0,0.0,1.0,6.0,1.5,7.0,1.75,9.0,38.3,2.0,3.0,9.0,9.0,5.0,1.0,1.0,0.0,7.0,1.4,9.0,1.8,4.0,38.0,0
3.0,1.0,10.0,7.0,3.0,3.0,0.0,0.0,4.0,1.3333333333333333,1.0,0.3333333333333333,9.0,22.4,2.0,1.0,7.0,7.0,5.0,1.0,1.0,0.0,3.0,0.6,6.0,1.2,1.0,54.0,1
