h_nb_victories,h_nb_draws,h_nb_defeats,h_nb_points,h_nb_goals_scored,h_nb_goals_conceded,h_nb_goals_diff,h_nb_games,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_points_home,h_nb_goals_scored_home,h_nb_goals_conceded_home,h_diff_goals_home,h_last_n_games_points_home,h_last_n_games_victories_home,h_last_n_games_draws_home,h_last_n_games_defeats_home,h_mean_nb_goals_scored_home,h_mean_nb_goals_conceded_home,h_season_wages,a_nb_victories,a_nb_draws,a_nb_defeats,a_nb_points,a_nb_goals_scored,a_nb_goals_conceded,a_nb_goals_diff,a_nb_games,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_points_away,a_nb_goals_scored_away,a_nb_goals_conceded_away,a_diff_goals_away,a_last_n_games_points_away,a_last_n_games_victories_away,a_last_n_games_draws_away,a_last_n_games_defeats_away,a_mean_nb_goals_scored_away,a_mean_nb_goals_conceded_away,a_season_wages,Month,Week,distance_km,capacity_home_stadium,home_win_odd_above,id
1.0,0.0,1.0,3.0,5.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,120.3,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.1,8,35,8217.78456225,45276.0,0,E0_2009_2010_25
3.0,0.0,0.0,9.0,7.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,174.7,2.0,0.0,1.0,6.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,2.0,22.4,8,35,11317.831407,42449.0,0,E0_2009_2010_28
1.0,0.0,2.0,3.0,1.0,3.0,-2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,2.0,29.9,1.0,0.0,2.0,3.0,3.0,7.0,-4.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,38.3,8,35,12390.973814,27828.0,0,E0_2009_2010_32
3.0,0.0,0.0,9.0,9.0,3.0,6.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,66.6,1.0,1.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,38.1,8,35,3966.42346745,36230.0,0,E0_2009_2010_31
1.0,1.0,1.0,4.0,2.0,4.0,-2.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,44.8,2.0,0.0,1.0,6.0,4.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,54.0,8,35,12387.254649,27740.0,1,E0_2009_2010_30
0.0,0.0,2.0,0.0,0.0,2.0,-2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,45.9,1.0,0.0,2.0,3.0,6.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,120.3,8,35,2857.39218926,28100.0,0,E0_2009_2010_27
0.0,0.0,2.0,0.0,1.0,4.0,-3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,2.0,47.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,54.0,8,35,10447.2443939,31154.0,0,E0_2009_2010_26
2.0,0.0,1.0,6.0,6.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,131.6,2.0,0.0,0.0,6.0,10.0,2.0,8.0,2.0,1.0,1.0,0.0,0.0,3.0,6.0,1.0,5.0,3.0,1.0,0.0,0.0,6.0,1.0,110.8,8,35,9334.36120511,75811.0,1,E0_2009_2010_29
0.0,0.0,2.0,0.0,1.0,7.0,-6.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,-5.0,0.0,0.0,0.0,1.0,1.0,6.0,54.5,1.0,0.0,2.0,3.0,2.0,6.0,-4.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,39.1,8,35,2100.34612846,40157.0,0,E0_2009_2010_34
1.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,0.0,2.0,80.1,1.0,0.0,1.0,3.0,1.0,2.0,-1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,48.5,8,35,4586.81371232,42785.0,0,E0_2009_2010_33
