id,BbAvH
E0_2009_2010_371,1.55
E0_2009_2010_370,1.18
E0_2009_2010_374,1.09
E0_2010_2011_7,2.33
E0_2010_2011_6,1.82
E0_2010_2011_5,2.39
E0_2010_2011_4,2.18
E0_2010_2011_3,1.16
E0_2010_2011_1,2.92
E0_2010_2011_0,1.96
E0_2010_2011_2,2.2
E0_2010_2011_8,2.47
E0_2010_2011_9,1.23
E0_2010_2011_15,2.22
E0_2010_2011_16,13.11
E0_2010_2011_14,2.46
E0_2010_2011_10,1.16
E0_2010_2011_12,1.48
E0_2010_2011_11,2.25
E0_2010_2011_13,3.27
E0_2010_2011_17,6.1
E0_2010_2011_18,3.04
E0_2010_2011_19,2.33
E0_2010_2011_25,2.4
E0_2010_2011_24,1.24
E0_2010_2011_23,1.14
E0_2010_2011_21,3.07
E0_2010_2011_20,5.66
E0_2010_2011_22,1.11
E0_2010_2011_26,2.52
E0_2010_2011_27,2.09
E0_2010_2011_28,1.22
E0_2010_2011_29,4.31
E0_2010_2011_35,3.61
E0_2010_2011_37,2.46
E0_2010_2011_36,9.84
E0_2010_2011_34,1.56
E0_2010_2011_32,1.83
E0_2010_2011_31,4.21
E0_2010_2011_30,1.24
E0_2010_2011_33,1.34
E0_2010_2011_38,3.12
E0_2010_2011_39,2.47
E0_2010_2011_43,1.92
E0_2010_2011_40,1.78
E0_2010_2011_41,2.02
E0_2010_2011_42,1.6
E0_2010_2011_44,5.42
E0_2010_2011_45,1.43
E0_2010_2011_46,2.28
E0_2010_2011_47,1.1
E0_2010_2011_48,1.7
E0_2010_2011_49,4.89
E0_2010_2011_56,3.58
E0_2010_2011_55,3.41
E0_2010_2011_54,1.45
E0_2010_2011_53,2.68
E0_2010_2011_52,3.12
E0_2010_2011_51,1.81
E0_2010_2011_50,1.21
E0_2010_2011_57,7.11
E0_2010_2011_58,1.94
E0_2010_2011_59,2.83
E0_2010_2011_66,2.27
E0_2010_2011_65,2.26
E0_2010_2011_64,2.13
E0_2010_2011_63,1.96
E0_2010_2011_62,4.93
E0_2010_2011_61,2.26
E0_2010_2011_60,2.72
E0_2010_2011_67,1.7
E0_2010_2011_68,1.32
E0_2010_2011_69,1.43
E0_2010_2011_75,1.82
E0_2010_2011_74,1.26
E0_2010_2011_73,2.84
E0_2010_2011_76,2.24
E0_2010_2011_71,4.64
E0_2010_2011_70,1.3
E0_2010_2011_72,2.18
E0_2010_2011_78,2.42
E0_2010_2011_77,5.66
E0_2010_2011_79,2.08
E0_2010_2011_80,1.85
E0_2010_2011_81,1.13
E0_2010_2011_82,2.4
E0_2010_2011_83,2.04
E0_2010_2011_84,2.12
E0_2010_2011_85,2.3
E0_2010_2011_86,2.4
E0_2010_2011_87,1.66
E0_2010_2011_88,2.43
E0_2010_2011_89,5.27
E0_2010_2011_95,5.07
E0_2010_2011_94,1.59
E0_2010_2011_93,1.87
E0_2010_2011_90,1.18
E0_2010_2011_91,7.7
E0_2010_2011_92,1.56
E0_2010_2011_96,1.82
E0_2010_2011_97,3.21
E0_2010_2011_98,2.16
E0_2010_2011_99,2.79
E0_2010_2011_105,1.22
E0_2010_2011_106,2.07
E0_2010_2011_104,2.16
E0_2010_2011_101,1.79
E0_2010_2011_102,4.52
E0_2010_2011_100,1.95
E0_2010_2011_103,2.97
E0_2010_2011_107,1.27
E0_2010_2011_108,3.73
E0_2010_2011_109,3.64
E0_2010_2011_110,2.08
E0_2010_2011_111,1.54
E0_2010_2011_119,5.71
E0_2010_2011_118,4.62
E0_2010_2011_117,2.29
E0_2010_2011_116,1.94
E0_2010_2011_113,1.2
E0_2010_2011_114,1.63
E0_2010_2011_112,1.62
E0_2010_2011_115,2.57
E0_2010_2011_125,1.87
E0_2010_2011_127,2.34
E0_2010_2011_126,2.46
E0_2010_2011_124,1.61
E0_2010_2011_123,3.7
E0_2010_2011_122,1.95
E0_2010_2011_121,1.42
E0_2010_2011_120,4.75
E0_2010_2011_128,1.22
E0_2010_2011_129,3.25
E0_2010_2011_136,2.2
E0_2010_2011_135,1.21
E0_2010_2011_134,1.53
E0_2010_2011_133,2.13
E0_2010_2011_132,2.5
E0_2010_2011_131,5.17
E0_2010_2011_130,1.64
E0_2010_2011_137,2.29
E0_2010_2011_138,3.11
E0_2010_2011_139,2.54
E0_2010_2011_147,2.55
E0_2010_2011_145,3.42
E0_2010_2011_144,1.26
E0_2010_2011_146,2.01
E0_2010_2011_142,1.55
E0_2010_2011_141,1.57
E0_2010_2011_143,2.06
E0_2010_2011_140,3.35
E0_2010_2011_148,5.0
E0_2010_2011_149,2.06
E0_2010_2011_154,1.53
E0_2010_2011_153,1.37
E0_2010_2011_155,2.7
E0_2010_2011_151,3.44
E0_2010_2011_150,1.28
E0_2010_2011_152,1.76
E0_2010_2011_156,1.84
E0_2010_2011_157,2.24
E0_2010_2011_158,1.59
E0_2010_2011_159,2.1
E0_2010_2011_160,1.43
E0_2010_2011_161,2.15
E0_2010_2011_162,3.57
E0_2010_2011_163,1.62
E0_2010_2011_164,4.11
E0_2010_2011_166,2.84
E0_2010_2011_165,2.03
E0_2010_2011_167,2.4
E0_2010_2011_168,1.95
E0_2010_2011_169,1.78
E0_2010_2011_170,2.11
E0_2010_2011_171,1.71
E0_2010_2011_172,3.06
E0_2010_2011_173,2.28
E0_2010_2011_174,2.07
E0_2010_2011_175,1.92
E0_2010_2011_176,1.26
E0_2010_2011_177,3.22
E0_2010_2011_178,2.09
E0_2010_2011_179,2.57
E0_2010_2011_186,3.39
